Feature,Mean_SHAP
V12,0.07416509003206885
V14,0.07130569366904962
V3,0.05388912344983272
V4,0.05005414901536186
V10,0.048554442366336825
V11,0.04459648147537164
V17,0.03439731685428225
V16,0.01694880957043626
V7,0.014646855049270914
V1,0.00917689008679136
V18,0.008805126470649067
V9,0.007241747446047567
V2,0.007118663259037027
V5,0.006105209354386918
V8,0.0057498294770131795
V21,0.005426463811412177
V26,0.004679850944096713
V19,0.004604702679125078
V24,0.0045786364727093895
V27,0.004384260419378448
