Precision,Recall,Threshold
0.0016741268107003137,1.0,0.0
0.037037037037037035,0.8947368421052632,0.01
0.11764705882352941,0.8421052631578947,0.02
0.21351351351351353,0.8315789473684211,0.03
0.30980392156862746,0.8315789473684211,0.04
0.40932642487046633,0.8315789473684211,0.05
0.5064102564102564,0.8315789473684211,0.06
0.5611510791366906,0.8210526315789474,0.07
0.65,0.8210526315789474,0.08
0.7027027027027027,0.8210526315789474,0.09
0.7358490566037735,0.8210526315789474,0.1
0.7428571428571429,0.8210526315789474,0.11
0.7647058823529411,0.8210526315789474,0.12
0.7938144329896907,0.8105263157894737,0.14
0.8020833333333334,0.8105263157894737,0.16
0.8369565217391305,0.8105263157894737,0.17
0.8555555555555555,0.8105263157894737,0.18
0.8539325842696629,0.8,0.19
0.8636363636363636,0.8,0.23
0.9156626506024096,0.8,0.24
0.926829268292683,0.8,0.26
0.9259259259259259,0.7894736842105263,0.31
0.925,0.7789473684210526,0.32
0.9240506329113924,0.7684210526315789,0.34
0.9230769230769231,0.7578947368421053,0.39
0.922077922077922,0.7473684210526316,0.41
0.9210526315789473,0.7368421052631579,0.42
0.9333333333333333,0.7368421052631579,0.44
0.9459459459459459,0.7368421052631579,0.49
0.9452054794520548,0.7263157894736842,0.5
0.9583333333333334,0.7263157894736842,0.54
0.9714285714285714,0.7157894736842105,0.65
0.9855072463768116,0.7157894736842105,0.69
0.9852941176470589,0.7052631578947368,0.7
0.9850746268656716,0.6947368421052632,0.72
0.9846153846153847,0.6736842105263158,0.73
0.984375,0.6631578947368421,0.74
0.9841269841269841,0.6526315789473685,0.77
0.9838709677419355,0.6421052631578947,0.79
0.9836065573770492,0.631578947368421,0.8
0.9830508474576272,0.6105263157894737,0.83
0.9827586206896551,0.6,0.84
0.9824561403508771,0.5894736842105263,0.85
0.9821428571428571,0.5789473684210527,0.87
0.9814814814814815,0.5578947368421052,0.88
0.9811320754716981,0.5473684210526316,0.89
0.9787234042553191,0.4842105263157895,0.9
0.9767441860465116,0.4421052631578947,0.92
0.975,0.4105263157894737,0.93
0.9743589743589743,0.4,0.94
0.9736842105263158,0.3894736842105263,0.95
0.9722222222222222,0.3684210526315789,0.96
0.9714285714285714,0.35789473684210527,0.97
1.0,0.3157894736842105,0.98
1.0,0.2,0.99
1.0,0.12631578947368421,1.0
